pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
6 Lyn b,6 Lyn,1,1,0,934.30000000,8.60000000,-8.60000000,0,13.400,,,0,638.83830,24.47291,-24.47291,0,5.20,,,0,1.44,,,0
61 Vir b,61 Vir,1,3,0,4.21500000,0.00060000,-0.00060000,0,2.110,,,0,5.10000,0.50000,-0.50000,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0
61 Vir c,61 Vir,1,3,0,38.02100000,0.03400000,-0.03400000,0,4.460,,,0,18.20000,1.10000,-1.10000,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0
61 Vir d,61 Vir,1,3,0,123.01000000,0.55000000,-0.55000000,0,5.110,,,0,22.90000,2.60000,-2.60000,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0
7 CMa b,7 CMa,1,2,0,735.10000000,14.80000000,-1.00000000,0,13.400,,,0,587.98550,19.06980,-19.06980,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0
7 CMa c,7 CMa,1,2,0,996.00000000,1.50000000,-52.40000000,0,13.900,,,0,276.51210,19.06980,-19.06980,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0
70 Vir b,70 Vir,1,1,0,116.68800000,0.00540000,-0.00540000,0,12.600,,,0,2380.45000,193.87000,-193.87000,0,1.89,,,0,1.09,,,0
75 Cet b,75 Cet,2,1,0,691.90000000,3.60000000,-3.60000000,0,13.100,,,0,953.49000,,,0,10.50,1.00,-1.00,0,2.49,0.02,-0.27,0
8 UMi b,8 UMi,1,1,0,93.40000000,4.50000000,-4.50000000,0,13.600,,,0,416.35730,50.85280,-50.85280,0,10.30,0.57,-0.57,0,1.44,0.19,-0.19,0
81 Cet b,81 Cet,1,1,0,952.70000000,8.80000000,-8.80000000,0,12.800,,,0,1684.40000,,,0,11.00,2.00,-1.00,0,2.40,0.10,-0.40,0
91 Aqr b,91 Aqr,3,1,0,181.40000000,0.10000000,-0.10000000,0,13.100,,,0,1017.00000,,,0,11.00,0.10,-0.10,0,1.40,0.10,-0.10,0
AB Aur b,AB Aur,1,1,0,,,,,12.500,,,0,2860.45566,,,0,2.96,0.10,-0.07,0,2.40,0.20,-0.20,0
AB Pic b,AB Pic,1,1,0,,,,,12.300,,,0,4290.50000,158.90000,-158.90000,0,1.00,0.03,-0.02,0,0.90,0.10,-0.10,0
AU Mic b,AU Mic,1,2,0,8.46299910,,,0,4.070,0.170,-0.170,0,20.12000,1.57000,-1.72000,0,0.70,0.02,-0.02,0,0.50,0.03,-0.03,0
AU Mic c,AU Mic,1,2,0,18.85899100,,,0,3.240,0.160,-0.160,0,9.60000,2.07000,-2.31000,0,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0
BD+03 2562 b,BD+03 2562,1,1,0,481.90000000,2.70000000,-2.80000000,0,12.700,,,0,2034.11200,413.17900,-413.17900,0,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0
BD+14 4559 b,BD+14 4559,1,1,0,268.94000000,0.99000000,-0.99000000,0,13.800,,,0,330.54320,149.38010,-149.38010,0,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0
BD+15 2375 b,BD+15 2375,1,1,0,153.22000000,0.44000000,-0.44000000,0,13.800,,,0,337.21763,85.81410,-85.81410,0,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0
BD+15 2940 b,BD+15 2940,1,1,0,137.48000000,0.34000000,-0.34000000,0,13.700,,,0,352.78000,,,0,14.70,2.80,-2.80,0,1.10,0.20,-0.20,0
BD+20 2457 b,BD+20 2457,1,2,0,379.63000000,2.00000000,-2.00000000,0,11.600,,,0,17668.16970,24965.54650,-24965.54650,0,71.02,73.63,-73.63,0,10.83,22.96,-22.96,0
BD+20 2457 c,BD+20 2457,1,2,0,621.99000000,10.20000000,-10.20000000,0,12.400,,,0,3963.17000,,,0,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0
BD+20 274 b,BD+20 274,1,1,0,578.20000000,5.40000000,-5.40000000,0,13.000,,,0,1334.88600,,,0,17.30,0.90,-0.90,0,0.80,0.20,-0.20,0
BD+20 594 b,BD+20 594,1,1,0,41.68550000,0.00300000,-0.00300000,0,2.578,0.112,-0.112,0,22.24810,9.53490,-9.53490,0,1.08,0.06,-0.06,0,1.67,0.40,-0.40,0
BD+45 564 b,BD+45 564,1,1,0,307.88000000,1.47000000,-1.47000000,0,13.600,,,0,432.24663,38.13941,-38.13941,0,0.81,0.04,-0.04,0,0.81,0.07,-0.07,0
BD+48 738 b,BD+48 738,1,1,0,392.60000000,5.50000000,-5.50000000,0,13.900,,,0,289.22530,,,0,11.00,1.00,-1.00,0,0.74,0.39,-0.39,0
BD+48 740 b,BD+48 740,1,1,0,733.00000000,5.00000000,-8.00000000,0,13.500,,,0,540.31100,222.48100,-222.48100,0,10.33,1.81,-1.81,0,1.09,0.16,-0.16,0
BD+49 828 b,BD+49 828,1,1,0,2590.00000000,300.00000000,-180.00000000,0,13.500,,,0,508.50000,127.10000,-63.60000,0,7.60,1.30,-1.30,0,1.52,0.22,-0.22,0
BD+55 362 b,BD+55 362,1,1,0,265.59000000,1.04000000,-1.04000000,0,14.000,,,0,228.83645,25.42627,-25.42627,0,0.90,0.06,-0.04,0,0.91,0.10,-0.10,0
BD+60 1417 b,BD+60 1417,1,1,0,,,,,14.684,0.673,-0.673,0,4767.42610,1589.14204,-1589.14204,0,0.80,0.05,-0.05,0,1.00,,,0
BD+63 1405 b,BD+63 1405,1,1,0,1198.48000000,60.79000000,-60.79000000,0,13.000,,,0,1258.60049,98.52681,-98.52681,0,0.80,0.04,-0.06,0,0.82,0.08,-0.08,0
BD-00 4475 b,BD-00 4475,1,1,0,723.20000000,0.74000000,-0.74000000,0,12.000,,,0,7961.60160,708.75735,-708.75735,0,0.84,0.04,-0.04,0,0.81,0.10,-0.10,0
BD-06 1339 b,BD-06 1339,1,2,0,3.87280000,0.00040000,-0.00040000,0,2.850,,,0,8.50000,1.30000,-1.30000,0,0.69,0.06,-0.07,0,0.70,,,0
BD-06 1339 c,BD-06 1339,1,2,0,125.94000000,0.44000000,-0.44000000,0,8.380,,,0,53.00000,8.00000,-8.00000,0,0.69,0.06,-0.07,0,0.70,,,0
BD-08 2823 b,BD-08 2823,1,2,0,5.60000000,0.02000000,-0.02000000,0,3.610,,,0,12.71320,3.17830,-3.17830,0,0.71,0.04,-0.04,0,0.50,0.26,-0.26,0
BD-08 2823 c,BD-08 2823,1,2,0,237.60000000,1.50000000,-1.50000000,0,12.500,,,0,104.00000,10.00000,-10.00000,0,0.72,0.02,-0.02,0,0.74,0.07,-0.07,0
BD-10 3166 b,BD-10 3166,1,1,0,3.48777000,0.00011000,-0.00011000,0,14.100,,,0,187.51970,22.24810,-22.24810,0,0.91,0.04,-0.04,0,1.47,0.24,-0.24,0
BD-11 4672 b,BD-11 4672,1,2,0,1634.00000000,13.00000000,-14.00000000,0,14.100,,,0,206.58950,15.89150,-19.06980,0,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0
BD-11 4672 c,BD-11 4672,1,2,0,74.20000000,0.06000000,-0.08000000,0,4.040,,,0,15.37000,2.97000,-2.81000,0,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0
BD-13 2130 b,BD-13 2130,1,1,0,714.29999000,5.30000000,-5.30000000,0,12.500,,,0,3108.37740,1449.30480,-1449.30480,0,19.17,4.96,-4.96,0,2.12,1.47,-1.47,0
BD-17 63 b,BD-17 63,1,1,0,655.60000000,0.60000000,-0.60000000,0,12.800,,,0,1620.90000,38.14000,-38.14000,0,0.69,,,0,0.74,0.03,-0.03,0
CD Cet b,CD Cet,1,1,0,2.29070000,0.00012000,-0.00012000,0,1.820,,,0,3.95000,0.42000,-0.43000,0,0.17,0.01,-0.01,0,0.16,0.01,-0.01,0
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,0,10037.50000000,2737.50000000,-2737.50000000,0,12.400,,,0,3337.10000,1430.20000,-1430.20000,0,,,,,0.02,0.01,-0.01,0
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,0,8040000.00000000,470000.00000000,-470000.00000000,0,20.849,0.560,-0.560,0,2479.06157,222.47988,-254.26273,0,0.24,0.01,-0.01,0,0.01,0.00,0.00,0
CHXR 73 b,CHXR 73,1,1,0,,,,,12.300,,,0,3994.48600,2662.99100,-1664.36900,0,,,,,0.35,,,0
CI Tau b,CI Tau,1,1,0,8.98910000,0.02020000,-0.02020000,0,12.400,,,0,3686.82800,921.70700,-858.14100,0,1.88,0.09,-0.42,0,0.90,0.02,-0.02,0
COCONUTS-2 b,COCONUTS-2 A,1,1,0,402000000.00000000,470000000.00000000,-100000000.00000000,0,12.442,0.336,-0.336,0,2002.31896,476.74261,-603.87397,0,0.39,0.01,-0.01,0,0.37,0.02,-0.02,0
CT Cha b,CT Cha,1,1,0,,,,,24.660,9.080,-6.730,0,5403.00000,1907.00000,-1907.00000,0,1.68,0.10,-0.16,0,,,,
CoRoT-1 b,CoRoT-1,1,1,0,1.50895570,0.00000640,-0.00000640,0,16.700,0.900,-0.900,0,327.35000,38.14000,-38.14000,0,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0
