pl_name,soltype,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim
GJ 876 d,Published Confirmed,0,1.937848,0.000024,-0.000023,0,7.49,0.43,-0.41,0
GJ 876 d,Published Confirmed,0,1.93778,0.00002,-0.00002,0,6.83,0.4,-0.4,0
GJ 876 d,Published Confirmed,0,1.93774,0.00006,-0.00006,0,7.53,0.7,-0.7,0
GJ 876 e,Published Confirmed,0,124.26,0.7,-0.7,0,14.6,1.7,-1.7,0
GJ 876 e,Published Confirmed,0,124.5,1.33,-1.33,0,16.58,1.96,-2.11,0
GJ 9827 b,Published Confirmed,0,1.2089802,0.0000084,-0.0000081,0,3.42,1.2,-0.76,0
GJ 9827 b,Published Confirmed,0,1.2089819,0.00000693,-0.00000714,0,4.91,0.49,-0.49,0
GJ 9827 b,Published Confirmed,0,1.208966,0.000012,-0.000012,0,3.69,0.48,-0.46,0
GJ 9827 b,Published Confirmed,0,1.209,,,0,4.89,0.43,-0.42,0
GJ 9827 c,Published Confirmed,0,3.64823,0.00012,-0.00012,0,1.45,0.58,-0.57,0
GJ 9827 c,Published Confirmed,0,3.6480957,0.0000633,-0.0000621,0,0.84,,,0
GJ 9827 c,Published Confirmed,0,3.648083,0.00006,-0.000058,0,2.42,0.75,-0.49,0
GJ 9827 d,Published Confirmed,0,6.2014698,0.0000626,-0.0000611,0,4.04,0.82,-0.84,0
GJ 9827 d,Published Confirmed,0,6.20142,0.00013,-0.00013,0,2.35,0.7,-0.68,0
GJ 9827 d,Published Confirmed,0,6.201467,0.000062,-0.000061,0,5.2,1.8,-1.2,0
HAT-P-1 b,Published Confirmed,0,4.4652934,0.0000093,-0.0000093,0,166.536,9.852,-9.852,0
HAT-P-1 b,Published Confirmed,0,4.46529976,0.00000055,-0.00000055,0,166.86075,6.03877,-6.03877,0
HAT-P-1 b,Published Confirmed,0,4.46543,,,0,169.08556,9.5349,-9.5349,0
HAT-P-1 b,Published Confirmed,0,4.4652934,0.0000093,-0.0000093,0,166.54292,5.72094,-5.72094,0
HAT-P-1 b,Published Confirmed,0,4.46529976,0.00000055,-0.00000055,0,166.86075,8.26358,-8.26358,0
HAT-P-1 b,Published Confirmed,0,4.46529,0.00009,-0.00009,0,168.4499,12.7132,-12.7132,0
HAT-P-1 b,Published Confirmed,0,4.46,,,0,168.4499,,,0
HAT-P-1 b,Published Confirmed,0,4.4652968,0.0000018,-0.0000018,0,168.13207,6.3566,-6.3566,0
HAT-P-11 b,Published Confirmed,0,4.8878162,0.0000071,-0.0000071,0,25.743,2.86,-2.86,0
HAT-P-11 b,Published Confirmed,0,4.88781501,0.00000068,-0.00000068,0,26.69772,2.22481,-2.22481,0
HAT-P-11 b,Published Confirmed,0,4.88782,0.000007,-0.000007,0,28.6047,3.1783,-3.1783,0
HAT-P-11 c,Published Confirmed,0,3397,71,-64,0,731.009,222.481,-158.915,0
HAT-P-12 b,Published Confirmed,0,3.2130579,0.0000004,-0.0000004,0,67.06213,3.81396,-3.81396,0
HAT-P-12 b,Published Confirmed,0,3.21,,,0,66.7443,,,0
HAT-P-12 b,Published Confirmed,0,3.2130598,0.0000021,-0.0000021,0,67.059,3.814,-3.814,0
HAT-P-12 b,Published Confirmed,0,3.21305929,0.00000035,-0.00000035,0,66.23577,3.05117,-2.9876,0
