,times_rv_observed,rv_observed,rv_err_observed,times_rv_orbit,rv_orbit,rv_orbit_sum,times_astrometry_observed,ra_observed,dec_observed,ra_err_observed,dec_err_observed,times_astrometry_orbit,ra_orbit,ra_orbit_sum,dec_orbit,dec_orbit_sum
8743,,,,6446.920392039205,[-0.02785671  5.48404596],5.456189247651735,,,,,,3116.316831683168,[-7.19477003e-08 -3.67355015e-04],-0.0003674269622790491,[-2.82619603e-07 -2.14920705e-04],-0.0002152033247639064
8744,,,,6447.2803280328035,[-0.02751294  5.48054072],5.453027777799848,,,,,,3116.6732673267325,[-7.31754319e-08 -3.67519994e-04],-0.000367593169288162,[-2.82020951e-07 -2.14778084e-04],-0.000215060104685801
8745,,,,6447.640264026402,[-0.02716822  5.4770343 ],5.449866079312614,,,,,,3117.029702970297,[-7.44004237e-08 -3.67684885e-04],-0.00036775928581088874,[-2.81411740e-07 -2.14635411e-04],-0.0002149168227695211
8746,,,,6448.000200020002,[-0.02682256  5.4735267 ],5.4467041404818834,,,,,,3117.386138613861,[-7.56226308e-08 -3.67849689e-04],-0.0003679253117592447,[-2.80791996e-07 -2.14492687e-04],-0.0002147734790730448
8747,,,,6448.360136013602,[-0.02647598  5.47001793],5.44354194957864,,,,,,3117.7425742574255,[-7.68420081e-08 -3.68014405e-04],-0.0003680912470453916,[-2.80161745e-07 -2.14349912e-04],-0.00021463007365473953
8748,,,,6448.720072007201,[-0.02612848  5.46650798],5.440379494853266,,,,,,3118.09900990099,[-7.80585111e-08 -3.68179033e-04],-0.0003682570915816379,[-2.79521015e-07 -2.14207086e-04],-0.00021448660657336197
8749,,,,6449.0800080008,[-0.02578008  5.46299685],5.437216764536026,,,,,,3118.455445544554,[-7.92720950e-08 -3.68343573e-04],-0.0003684228452804418,[-2.78869831e-07 -2.14064208e-04],-0.00021434307788805487
8750,,,,6449.439943994399,[-0.0254308   5.45948455],5.434053746837387,,,,,,3118.8118811881186,[-8.04827153e-08 -3.68508025e-04],-0.000368588508054412,[-2.78208222e-07 -2.13921279e-04],-0.00021419948765834671
8751,,,,6449.799879987999,[-0.02508064  5.45597107],5.430890429948376,,,,,,3119.168316831683,[-8.16903278e-08 -3.68672389e-04],-0.000368754079816309,[-2.77536215e-07 -2.13778300e-04],-0.0002140558359441505
8752,,,,6450.1598159815985,[-0.02472962  5.45245643],5.427726802041023,,,,,,3119.524752475247,[-8.28948882e-08 -3.68836666e-04],-0.00036891956047904696,[-2.76853839e-07 -2.13635269e-04],-0.00021391212280576108
